Name;Prefix;Type;SSIS2012;SSIS2012VS2015;SSIS2014;SSIS2016
CDC Splitter;CDCS;Transformation;Attunity.SqlServer.CDCSplit.CdcSplitterComponent, Attunity.SqlServer.CDCSplit, Version=1.0.0.0, Culture=neutral, PublicKeyToken=aa342389a732e31c;Attunity.SqlServer.CDCSplit.CdcSplitterComponent, Attunity.SqlServer.CDCSplit, Version=1.0.0.0, Culture=neutral, PublicKeyToken=aa342389a732e31c;Attunity.CdcSplitterComponent;Attunity.CdcSplitterComponent
Character Map;CHM;Transformation;{C86C867A-7D40-486A-8734-F0B6943A9DD4};DTSTransform.CharacterMap.3;Microsoft.CharacterMap;Microsoft.CharacterMap
Check Database Integrity Task;CHECKDB;Task;Microsoft.SqlServer.Management.DatabaseMaintenance.DbMaintenanceCheckIntegrityTask, Microsoft.SqlServer.MaintenancePlanTasks, Version=11.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91;Microsoft.SqlServer.Management.DatabaseMaintenance.DbMaintenanceCheckIntegrityTask, Microsoft.SqlServer.MaintenancePlanTasks, Version=11.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91;Microsoft.DbMaintenanceCheckIntegrityTask;Microsoft.DbMaintenanceCheckIntegrityTask
Conditional Split;CSPL;Transformation;{7F88F654-4E20-4D14-84F4-AF9C925D3087};DTSTransform.ConditionalSplit.3;Microsoft.ConditionalSplit;Microsoft.ConditionalSplit
Copy Column;CPYC;Transformation;{D231ABC4-4754-481B-8F7A-CD4BD8D09832};DTSTransform.CopyMap.3;Microsoft.CopyMap;Microsoft.CopyMap
Data Conversion;DCNV;Transformation;{62B1106C-7DB8-4EC8-ADD6-4C664DFFC54A};DTSTransform.DataConvert.3;Microsoft.DataConvert;Microsoft.DataConvert
Data Flow Task;DFT;Task;SSIS.Pipeline.3;SSIS.Pipeline.3;Microsoft.Pipeline;Microsoft.Pipeline
Data Flow Task (via dft);DFT;Task;{5918251B-2970-45A4-AB5F-01C3C588FE5A};{5918251B-2970-45A4-AB5F-01C3C588FE5A};N/A;N/A
Data Mining Model Training;DMMT_DST;Transformation;{3D9FFAE9-B89B-43D9-80C8-B97D2740C746};MSMDPP.PXPipelineProcessDM.3;Microsoft.PXPipelineProcessDM;Microsoft.PXPipelineProcessDM
Data Mining Query;DMQ;Transformation;{CBDFF0CC-3758-4424-A431-3C2E103069AA};MSMDPP.PXPipelineDMQuery.3;Microsoft.PXPipelineDMQuery;Microsoft.PXPipelineDMQuery
Data Mining Query Task;DMQ;Task;Microsoft.SqlServer.Dts.Tasks.DMQueryTask.DMQueryTask, Microsoft.SqlServer.DMQueryTask, Version=11.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91;Microsoft.SqlServer.Dts.Tasks.DMQueryTask.DMQueryTask, Microsoft.SqlServer.DMQueryTask, Version=11.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91;Microsoft.DMQueryTask;Microsoft.DMQueryTask
Data Profiling Task;DPT;Task;Microsoft.SqlServer.Dts.Tasks.DataProfilingTask.DataProfilingTask, Microsoft.SqlServer.DataProfilingTask, Version=11.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91;Microsoft.SqlServer.Dts.Tasks.DataProfilingTask.DataProfilingTask, Microsoft.SqlServer.DataProfilingTask, Version=11.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91;Microsoft.DataProfilingTask;Microsoft.DataProfilingTask
Data Streaming Destination;DS_DST;Destination;Microsoft.SqlServer.Dts.DataStreaming.DataStreamingDestinationAdapter, Microsoft.SqlServer.DataStreaming.Dest, Version=11.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91;Microsoft.SqlServer.Dts.DataStreaming.DataStreamingDestinationAdapter, Microsoft.SqlServer.DataStreaming.Dest, Version=11.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91;N/A;Microsoft.DataStreamingDestinationAdapter
DataReaderDest;DR_DST;Transformation;Microsoft.SqlServer.Dts.Pipeline.DataReaderDestinationAdapter, Microsoft.SqlServer.DataReaderDest, Version=11.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91;DTSAdapter.ExcelDestination.3;Microsoft.DataReaderDestinationAdapter;Microsoft.DataReaderDestinationAdapter
Derived Column;DER;Transformation;{49928E82-9C4E-49F0-AABE-3812B82707EC};DTSTransform.DerivedColumn.3;Microsoft.DerivedColumn;Microsoft.DerivedColumn
Dimension Processing;DP_DST;Transformation;{2C2F0891-3AAA-4865-A676-D7476FE4CE90};MSMDPP.PXPipelineProcessDimension.3;Microsoft.PXPipelineProcessDimension;Microsoft.PXPipelineProcessDimension
DQS Cleansing;DQSC;Transformation;Microsoft.Ssdqs.Component.DataCorrection.Logic.DataCorrectionComponent, Microsoft.Ssdqs.Component.DataCorrection, Version=11.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91;Microsoft.Ssdqs.Component.DataCorrection.Logic.DataCorrectionComponent, Microsoft.Ssdqs.Component.DataCorrection, Version=11.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91;Microsoft.DataCorrectionComponent;Microsoft.DataCorrectionComponent
Excel Destination;EX_DST;Destination;{1F5D5712-2FBA-4CB9-A95A-86C1F336E1DA};DTSAdapter.ExcelDestination.3;Microsoft.ExcelDestination;Microsoft.ExcelDestination
Excel Source;EX_SRC;Source;{8C084929-27D1-479F-9641-ABB7CDADF1AC};DTSAdapter.ExcelSource.3;Microsoft.ExcelSource;Microsoft.ExcelSource
Execute Package Task;EPT;Task;SSIS.ExecutePackageTask.3;SSIS.ExecutePackageTask.3;Microsoft.ExecutePackageTask;Microsoft.ExecutePackageTask
Execute Process Task;EPR;Task;Microsoft.SqlServer.Dts.Tasks.ExecuteProcess.ExecuteProcess, Microsoft.SqlServer.ExecProcTask, Version=11.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91;Microsoft.SqlServer.Dts.Tasks.ExecuteProcess.ExecuteProcess, Microsoft.SqlServer.ExecProcTask, Version=11.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91;Microsoft.ExecuteProcess;Microsoft.ExecuteProcess
Execute SQL Server Agent Job Task;AGENT;Task;Microsoft.SqlServer.Management.DatabaseMaintenance.DbMaintenanceExecuteAgentJobTask, Microsoft.SqlServer.MaintenancePlanTasks, Version=11.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91;Microsoft.SqlServer.Management.DatabaseMaintenance.DbMaintenanceExecuteAgentJobTask, Microsoft.SqlServer.MaintenancePlanTasks, Version=11.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91;Microsoft.DbMaintenanceExecuteAgentJobTask;Microsoft.DbMaintenanceExecuteAgentJobTask
Execute SQL Task;SQL;Task;Microsoft.SqlServer.Dts.Tasks.ExecuteSQLTask.ExecuteSQLTask, Microsoft.SqlServer.SQLTask, Version=11.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91;Microsoft.SqlServer.Dts.Tasks.ExecuteSQLTask.ExecuteSQLTask, Microsoft.SqlServer.SQLTask, Version=11.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91;Microsoft.ExecuteSQLTask;Microsoft.ExecuteSQLTask
Execute T-SQL Statement Task;TSQL;Task;Microsoft.SqlServer.Management.DatabaseMaintenance.DbMaintenanceTSQLExecuteTask, Microsoft.SqlServer.MaintenancePlanTasks, Version=11.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91;Microsoft.SqlServer.Management.DatabaseMaintenance.DbMaintenanceTSQLExecuteTask, Microsoft.SqlServer.MaintenancePlanTasks, Version=11.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91;Microsoft.DbMaintenanceTSQLExecuteTask;Microsoft.DbMaintenanceTSQLExecuteTask
Export Column;EXPC;Transformation;{A9823821-0085-4483-952F-36277F63FFC5};TxFileExtractor.Extractor.3;Microsoft.Extractor;Microsoft.Extractor
Expression Task;EXPR;Task;Microsoft.SqlServer.Dts.Tasks.ExpressionTask.ExpressionTask, Microsoft.SqlServer.ExpressionTask, Version=11.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91;Microsoft.SqlServer.Dts.Tasks.ExpressionTask.ExpressionTask, Microsoft.SqlServer.ExpressionTask, Version=11.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91;Microsoft.ExpressionTask;Microsoft.ExpressionTask
File System Task;FSYS;Task;Microsoft.SqlServer.Dts.Tasks.FileSystemTask.FileSystemTask, Microsoft.SqlServer.FileSystemTask, Version=11.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91;Microsoft.SqlServer.Dts.Tasks.FileSystemTask.FileSystemTask, Microsoft.SqlServer.FileSystemTask, Version=11.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91;Microsoft.FileSystemTask;Microsoft.FileSystemTask
Flat File Destination;FF_DST;Destination;{8DA75FED-1B7C-407D-B2AD-2B24209CCCA4};DTSAdapter.FlatFileDestination.3;Microsoft.FlatFileDestination;Microsoft.FlatFileDestination
Flat File Source;FF_SRC;Source;{D23FD76B-F51D-420F-BBCB-19CBF6AC1AB4};DTSAdapter.FlatFileSource.3;Microsoft.FlatFileSource;Microsoft.FlatFileSource
For Loop Container;FLC;Container;STOCK:FORLOOP;STOCK:FORLOOP;STOCK:FORLOOP;STOCK:FORLOOP
Foreach Loop Container;FELC;Container;STOCK:FOREACHLOOP;STOCK:FOREACHLOOP;STOCK:FOREACHLOOP;STOCK:FOREACHLOOP
FTP Task;FTP;Task;Microsoft.SqlServer.Dts.Tasks.FtpTask.FtpTask, Microsoft.SqlServer.FtpTask, Version=11.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91;Microsoft.SqlServer.Dts.Tasks.FtpTask.FtpTask, Microsoft.SqlServer.FtpTask, Version=11.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91;Microsoft.FtpTask;Microsoft.FtpTask
Fuzzy Grouping;FZG;Transformation;{836E0D0B-0358-45B4-B888-4ADCE9356D4E};DTSTransform.GroupDups.3;Microsoft.FuzzyGrouping;Microsoft.FuzzyGrouping
Fuzzy Lookup;FZL;Transformation;{E4A5F949-EC93-45AB-8B36-B52936257EC2};DTSTransform.BestMatch.3;Microsoft.FuzzyLookup;Microsoft.FuzzyLookup
Hadoop File System Task;HFSYS;Task;N/A;N/A;N/A;HadoopFileSystemTask
Hadoop Hive Task;HIVE;Task;N/A;N/A;N/A;HadoopHiveTask
Hadoop Pig Task;PIG;Task;N/A;N/A;N/A;HadoopPigTask
HDFS File Destination;HDFS_DST;Destination;N/A;N/A;N/A;HdfsDest
HDFS File Source;HDFS_SRC;Source;N/A;N/A;N/A;HdfsSource
History Cleanup Task;HISTCT;Task;Microsoft.SqlServer.Management.DatabaseMaintenance.DbMaintenanceHistoryCleanupTask, Microsoft.SqlServer.MaintenancePlanTasks, Version=11.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91;Microsoft.SqlServer.Management.DatabaseMaintenance.DbMaintenanceHistoryCleanupTask, Microsoft.SqlServer.MaintenancePlanTasks, Version=11.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91;Microsoft.DbMaintenanceHistoryCleanupTask;Microsoft.DbMaintenanceHistoryCleanupTask
Import Column;IMPC;Transformation;{9053CAE0-140B-48E4-AEEC-4E6A26E9E436};TxFileInserter.Inserter.3;Microsoft.Inserter;Microsoft.Inserter
Lookup;LKP;Transformation;{671046B0-AA63-4C9F-90E4-C06E0B710CE3};DTSTransform.Lookup.3;Microsoft.Lookup;Microsoft.Lookup
Maintenance Cleanup Task;MAINCT;Task;Microsoft.SqlServer.Management.DatabaseMaintenance.DbMaintenanceFileCleanupTask, Microsoft.SqlServer.MaintenancePlanTasks, Version=11.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91;Microsoft.SqlServer.Management.DatabaseMaintenance.DbMaintenanceFileCleanupTask, Microsoft.SqlServer.MaintenancePlanTasks, Version=11.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91;Microsoft.DbMaintenanceFileCleanupTask;Microsoft.DbMaintenanceFileCleanupTask
Merge;MRG;Transformation;{36E0E750-2510-4776-AA6E-17EAE84FD63E};DTSTransform.Merge.3;Microsoft.Merge;Microsoft.Merge
Merge Join;MRGJ;Transformation;{14D43A4F-D7BD-489D-829E-6DE35750CFE4};DTSTransform.MergeJoin.3;Microsoft.MergeJoin;Microsoft.MergeJoin
Message Queue Task;MSMQ;Task;Microsoft.SqlServer.Dts.Tasks.MessageQueueTask.MessageQueueTask, Microsoft.SqlServer.MSMQTask, Version=11.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91;Microsoft.SqlServer.Dts.Tasks.MessageQueueTask.MessageQueueTask, Microsoft.SqlServer.MSMQTask, Version=11.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91;Microsoft.MessageQueueTask;Microsoft.MessageQueueTask
Multicast;MLT;Transformation;{EC139FBC-694E-490B-8EA7-35690FB0F445};DTSTransform.Multicast.3;Microsoft.Multicast;Microsoft.Multicast
Notify Operator Task;NOT;Task;Microsoft.SqlServer.Management.DatabaseMaintenance.DbMaintenanceNotifyOperatorTask, Microsoft.SqlServer.MaintenancePlanTasks, Version=11.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91;Microsoft.SqlServer.Management.DatabaseMaintenance.DbMaintenanceNotifyOperatorTask, Microsoft.SqlServer.MaintenancePlanTasks, Version=11.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91;Microsoft.DbMaintenanceNotifyOperatorTask;Microsoft.DbMaintenanceNotifyOperatorTask
OData Source;ODATA_SRC;Source;Microsoft.SqlServer.IntegrationServices.OData.ODataSource, Microsoft.SqlServer.IntegrationServices.ODataSrc, Version=11.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91;Microsoft.OData;Microsoft.Odata;Microsoft.OData
ODBC Destination;ODBC_DST;Destination;{074B8736-CD73-40A5-822E-888215AF57DA};AttunitySSISODBCDst.2;Attunity.SSISODBCDst;Attunity.SSISODBCDst
ODBC Source;ODBC_SRC;Source;{A77F5655-A006-443A-9B7E-90B6BD55CB84};AttunitySSISODBCSrc.2;Attunity.SSISODBCSrc;Attunity.SSISODBCSrc
OLE DB Command;CMD;Transformation;{93FFEC66-CBC8-4C7F-9C6A-CB1C17A7567D};DTSTransform.OLEDBCommand.3;Microsoft.OLEDBCommand;Microsoft.OLEDBCommand
OLE DB Destination;OLE_DST;Destination;{4ADA7EAA-136C-4215-8098-D7A7C27FC0D1};DTSAdapter.OLEDBDestination.3;Microsoft.OLEDBDestination;Microsoft.OLEDBDestination
OLE DB Source;OLE_SRC;Source;{165A526D-D5DE-47FF-96A6-F8274C19826B};DTSAdapter.OLEDBSource.3;Microsoft.OLEDBSource;Microsoft.OLEDBSource
Partition Processing;PP_DST;Transformation;{DA510FB7-E3A8-4D96-9F59-55E15E67FE3D};MSMDPP.PXPipelineProcessPartition.3;Microsoft.PXPipelineProcessPartition;Microsoft.PXPipelineProcessPartition
Percentage Sampling;PSMP;Transformation;{05322586-D434-4593-8BE4-8CFC766D9C8B};DTSTransform.PctSampling.3;Microsoft.PctSampling;Microsoft.PctSampling
Pivot;PVT;Transformation;{AEB2AFAE-2201-48B1-B290-42BB8C9149DD};DTSTransform.Pivot.3;Microsoft.Pivot;Microsoft.Pivot
Raw File Destination;RF_DST;Destination;{04762BB6-892F-4EE6-AD46-9CEB0A7EC7A2};DTSAdapter.RawDestination.3;Microsoft.RawDestination;Microsoft.RawDestination
Raw File Source;RF_SRC;Source;{480C7D5A-CE63-405C-B338-3C7F26560EE3};DTSAdapter.RawSource.3;Microsoft.RawSource;Microsoft.RawSource
Rebuild Index Task;REBIT;Task;Microsoft.SqlServer.Management.DatabaseMaintenance.DbMaintenanceReindexTask, Microsoft.SqlServer.MaintenancePlanTasks, Version=11.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91;Microsoft.SqlServer.Management.DatabaseMaintenance.DbMaintenanceReindexTask, Microsoft.SqlServer.MaintenancePlanTasks, Version=11.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91;Microsoft.DbMaintenanceReindexTask;Microsoft.DbMaintenanceReindexTask
Recordset Destination;RS_DST;Destination;{C457FD7E-CE98-4C4B-AEFE-F3AE0044F181};DTSAdapter.RecordsetDestination.3;Microsoft.RecordsetDestination;Microsoft.RecordsetDestination
Reorganize Index Task;REOIT;Task;Microsoft.SqlServer.Management.DatabaseMaintenance.DbMaintenanceDefragmentIndexTask, Microsoft.SqlServer.MaintenancePlanTasks, Version=11.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91;Microsoft.SqlServer.Management.DatabaseMaintenance.DbMaintenanceDefragmentIndexTask, Microsoft.SqlServer.MaintenancePlanTasks, Version=11.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91;Microsoft.DbMaintenanceDefragmentIndexTask;Microsoft.DbMaintenanceDefragmentIndexTask
Row Count;CNT;Transformation;{E2697D8C-70DA-42B2-8208-A19CE3A9FE41};DTSTransform.RowCount.3;Microsoft.RowCount;Microsoft.RowCount
Row Sampling;RSMP;Transformation;{284A868A-7C3D-498C-ABBF-028CEF6AB288};DTSTransform.RowSampling.3;Microsoft.RowSampling;Microsoft.RowSampling
